id,subid,topic,relational_semantic_type,presence,candidate_term_left,candidate_term_right,Pivot,occurrence,full_context,annotation,tags,global_freq
H01,H01_1,economy,hyp_attributif,both,"['índice', 'integración', 'índice de integración']",['promedio'],El_ART_el índice_NC_índice de_PREP_de integración_NC_integración es_VSfin_ser el_ART_el promedio_NC_promedio, El índice de integración es el promedio,de los productos manufacturados en el total de las exportaciones. El índice de integración es el promediosimple de las variaciones de los cuatro indicadores en el período señalado,« OUI »,ART NC PREP NC VSfin ART NC,10
H01,H01_2,economy,hyp_attributif,both,['aranceles'],['factor'],Los_ART_el aranceles_NC_arancel son_VSfin_ser un_ART_un factor_NC_factor, Los aranceles son un factor,varían en forma considerable en las distintas regiones en desarrollo. Los aranceles son un factorimportante porque cuando los niveles de protección son elevados el crecimiento puede,« OUI »,ART NC VSfin ART NC,16
H01,H01_3,economy,hyp_attributif,both,['crecimiento'],['efecto'],crecimiento_NC_crecimiento es_VSfin_ser el_ART_el efecto_NC_efecto, crecimiento es el efecto,lenta. Un factor que explica la relación entre integración y crecimiento es el efectofavorable de un sistema de comercio más libre y de la inversión,« NON »,NC VSfin ART NC,27
H01,H01_4,economy,hyp_attributif,right,[None],['factor'],La_ART_el reforma_NC_reforma de_PREP_de las_ART_el políticas_NC_política es_VSfin_ser un_ART_un factor_NC_factor, La reforma de las políticas es un factor,del ambiente institucional y las políticas que adopten los gobiernos. La reforma de las políticas es un factorfundamental La importancia que reviste la reforma de las políticas queda de,« NON »,ART NC PREP ART NC VSfin ART NC,6
H01,H01_5,economy,hyp_attributif,left,"['inestabilidad', 'inestabilidad macroeconómica']",[None],la_ART_el inestabilidad_NC_inestabilidad macroeconómica_ADJ_macroeconómico fue_VSfin_ser la_ART_el causa_NC_causa, la inestabilidad macroeconómica fue la causa,"el sector de exportaciones de la economía. Se estima que la inestabilidad macroeconómica fue la causade la disminución de hasta 0, 9 puntos porcentuales al año",« NON »,ART NC ADJ VSfin ART NC,14
H01,H01_6,economy,hyp_attributif,left,"['ritmo', 'integración', 'ritmo de integración']",[None],el_ART_el ritmo_NC_ritmo de_PREP_de integración_NC_integración es_VSfin_ser la_ART_el disponibilidad_NC_disponibilidad, el ritmo de integración es la disponibilidad,"necesario. El segundo aspecto en materia de políticas que afecta el ritmo de integración es la disponibilidady el mantenimiento adecuado de la infraestructura económica necesaria, en particular",« NON »,ART NC PREP NC VSfin ART NC,10
H01,H01_7,economy,hyp_attributif,left,['opciones'],[None],opciones_NC_opción son_VSfin_ser la_ART_el agrupación_NC_agrupación, opciones son la agrupación,"tipo de medidas podrían adoptarse para corregir estas distorsiones? Algunas opciones son la agrupaciónde cargas a granel para alcanzar economías de escala, la racionalización",« NON »,NC VSfin ART NC,27
H01,H01_8,economy,hyp_attributif,right,[None],['fenómeno'],el_ART_el regionalismo_NC_regionalismo es_VSfin_ser un_ART_un fenómeno_NC_fenómeno, el regionalismo es un fenómeno,"e histórica que ayudará a determinar su éxito. Dado que el regionalismo es un fenómenobastante reciente y adopta múltiples formas, no admite conclusiones simples.",« OUI »,ART NC VSfin ART NC,16
H01,H01_9,economy,hyp_attributif,none,[None],[None],Acuerdo_NC_acuerdo Multifibras_NP_Multifibras serán_VSfin_ser los_ART_el países_NC_país, Acuerdo Multifibras serán los países,desarrollo. Probablemente los principales beneficiarios de la eliminación gradual del Acuerdo Multifibras serán los paísesproductores más eficientes cuyas exportaciones a los mercados de los países industriales,« NON »,NC NP VSfin ART NC,2
H01,H01_10,economy,hyp_attributif,none,[None],[None],Françoise_NP_Françoise es_VSfin_ser una_ART_un inmigrante_NC_inmigrante, Françoise es una inmigrante,alrededor del 20 % de la población activa del mundo. Françoise es una inmigrantede origen vietnamita que vive en Francia y se gana la vida,« NON »,NP VSfin ART NC,24
H01,H01_11,economy,hyp_attributif,right,[None],['trabajadora'],Françoise_NP_Françoise es_VSfin_ser una_ART_un trabajadora_NC_trabajador, Françoise es una trabajadora,"Françoise es pobre. Desde un punto de vista jurídico, Françoise es una trabajadoraocasional que no tiene empleo seguro, pero su situación económica en",« NON »,NP VSfin ART NC,24
H01,H01_12,economy,hyp_attributif,none,[None],[None],Jean-Paul_NP_Jean-Paul es_VSfin_ser un_ART_un francés_NC_francés, Paul es un francés,alrededor del 9 % de la población activa del mundo. Paul es un francésde 50 años de edad cuyas perspectivas de empleo no son nada,« NON »,NP VSfin ART NC,24
H01,H01_13,economy,hyp_attributif,left,['trabajadores'],[None],la_ART_el nutrición_NC_nutrición de_PREP_de los_ART_el trabajadores_NC_trabajador son_VSfin_ser la_ART_el clave_NC_clave, la nutrición de los trabajadores son la clave,inversiones en la capacitación y el mejoramiento de la salud y la nutrición de los trabajadores son la claveno sólo del bienestar de la población activa sino también del buen,« NON »,ART NC PREP ART NC VSfin ART NC,6
H01,H01_14,economy,hyp_attributif,both,['característica'],['aceleración'],característica_NC_característica principal_ADJ_principal es_VSfin_ser la_ART_el aceleración_NC_aceleración, característica principal es la aceleración,Estos cambios pueden afectar profundamente al mercado de trabajo. Su característica principal es la aceleracióndel proceso de eliminación de empleos que ya no son viables y,« NON »,NC ADJ VSfin ART NC,13
H01,H01_15,economy,hyp_attributif,both,"['inversión', 'inversión']",['productos'],inversión_NC_inversión Fondos_NC_fondo de_PREP_de inversión_NC_inversión Son_VSfin_ser productos_NC_producto, inversión Fondos de inversión Son productos,"carácter social. Productos - Ahorro - Inversión - Productos de inversión Fondos de inversión Son productosde inversión en valores mobiliarios, de renta fija, variable o",« NON »,NC NC PREP NC VSfin NC,1
H01,H01_16,economy,hyp_attributif,none,[None],[None],miembro_NC_miembro son_VSfin_ser constantes_NC_constante, miembro son constantes,", podemos escribir xxx, donde todas las variables del primer miembro son constantes. Si tomamos logaritmos y derivamos respecto del tiempo obtenemos la siguiente",« NON »,NC VSfin NC,9
H01,H01_17,economy,hyp_attributif,both,['expresión'],['ecuación'],expresión_NC_expresión es_VSfin_ser una_ART_un ecuación_NC_ecuación, expresión es una ecuación,"respecto del tiempo obtenemos la siguiente relación: xxx. Esta expresión es una ecuaciónclave que requiere un cierto detenimiento. Consideremos, en primer lugar",« NON »,NC VSfin ART NC,27
H01,H01_18,economy,hyp_attributif,left,"['tasa', 'depreciación', 'tasa de depreciación']",[None],la_ART_el tasa_NC_tasa de_PREP_de depreciación_NC_depreciación es_VSfin_ser un_ART_un determinante_NC_determinante, la tasa de depreciación es un determinante,"de esto, y como se podrá constatar más adelante, la tasa de depreciación es un determinanteimportante de la tasa de crecimiento de la economía, por lo",« OUI »,ART NC PREP NC VSfin ART NC,10
H01,H01_19,economy,hyp_attributif,right,[None],['familia'],el_ART_el agente_NC_agente representativo_ADJ_representativo es_VSfin_ser una_ART_un familia_NC_familia, el agente representativo es una familia,"A partir de Barro (1974), se supone que el agente representativo es una familiao un grupo de individuos vinculados unos con otros a través del",« OUI »,ART NC ADJ VSfin ART NC,14
H01,H01_20,economy,hyp_attributif,none,[None],[None],los_ART_el niños_NC_niño del_PDEL_del presente_ADJ_presente serán_VSfin_ser los_ART_el adultos_NC_adulto, los niños del presente serán los adultos,"aumentará las tasas de fertilidad en el futuro, puesto que los niños del presente serán los adultosque ganarán estos mayores salarios. Mayores salarios futuros, por lo",« NON »,ART NC PDEL ADJ VSfin ART NC,1
H01,H01_21,economy,hyp_attributif,both,['fertilidad'],['variables'],la_ART_el fertilidad_NC_fertilidad son_VSfin_ser variables_NC_variable, la fertilidad son variables,ejemplos de modelos de crecimiento en los que la emigración y la fertilidad son variablesendógenas. Braun (1993) examina también modelos de migración y,« NON »,ART NC VSfin NC,9
H01,H01_22,economy,hyp_attributif,right,[None],['capital'],xxx_NP_xxx es_VSfin_ser el_ART_el capital_NC_capital, xxx es el capital,"el cual ambas curvas se cruzan, al que designaremos por xxx es el capitalpor trabajador que existe en el estado estacionario. Acabamos de argumentar",« NON »,NP VSfin ART NC,24
H01,H01_23,economy,hyp_attributif,both,"['estacionario', 'estado estacionario']",['supuesto'],el_ART_el estado_NC_estado estacionario_ADJ_estacionario es_VSfin_ser el_ART_el supuesto_NC_supuesto, el estado estacionario es el supuesto,. La razón intuitiva que explica la ausencia de crecimiento en el estado estacionario es el supuestode que los rendimientos del capital son decrecientes y se aproximan a,« NON »,ART NC ADJ VSfin ART NC,14
H01,H01_24,economy,hyp_attributif,left,['modelo'],[None],modelo_NC_modelo es_VSfin_ser la_ART_el rapidez_NC_rapidez, modelo es la rapidez,cuantitativa de la duración de la transición Un aspecto importante del modelo es la rapidezcon la cual la economía alcanza el nuevo estado estacionario. Para,« NON »,NC VSfin ART NC,27
H01,H01_25,economy,hyp_attributif,left,"['capital', 'físico', 'capital físico']",[None],capital_NC_capital físico_ADJ_físico es_VSfin_ser xxx_NP_xxx, capital físico es xxx,"de convergencia es igual a xxx. Si la participación del capital físico es xxxy la participación del capital humano xxx, la tasa relevante del",« NON »,NC ADJ VSfin NP,1
H01,H01_26,economy,hyp_attributif,both,"['utilidad', 'individuos']",['suma'],la_ART_el utilidad_NC_utilidad de_PREP_de los_ART_el individuos_NC_individuo es_VSfin_ser la_ART_el suma_NC_suma, la utilidad de los individuos es la suma,"población. La expresión (3. 1) indica que la utilidad de los individuos es la suma(es decir, la integral) de sus funciones instantáneas de",« OUI »,ART NC PREP ART NC VSfin ART NC,6
H01,H01_27,economy,hyp_attributif,left,['modelo'],[None],los_ART_el agentes_NC_agente del_PDEL_del modelo_NC_modelo son_VSfin_ser dinastías_NC_dinastía, los agentes del modelo son dinastías,"las herencias intergeneracionales. En este contexto, deberemos suponer que los agentes del modelo son dinastíaso familias, siendo el número de individuos pertenecientes a cada dinastía",« OUI »,ART NC PDEL NC VSfin NC,1
H01,H01_28,economy,hyp_attributif,right,[None],['consumo'],xxx_NP_xxx es_VSfin_ser el_ART_el consumo_NC_consumo, xxx es el consumo,"paterno dentro de un mundo de altruismo intergeneracional. Dado que xxx es el consumoper cápita, xxx representa la felicidad instantánea per cápita. Por",« NON »,NP VSfin ART NC,24
H01,H01_29,economy,hyp_attributif,right,[None],['función'],xxx_NP_xxx es_VSfin_ser una_ART_un función_NC_función, xxx es una función,tiene rendimientos constantes de escala & lsqb; por lo que xxx es una funciónhomogénea de grado uno: xxx. 2 La productividad marginal de,« NON »,NP VSfin ART NC,24
H01,H01_30,economy,hyp_attributif,both,"['función', 'utilidad', 'función de utilidad']",['consumo'],la_ART_el función_NC_función de_PREP_de utilidad_NC_utilidad es_VSfin_ser el_ART_el consumo_NC_consumo, la función de utilidad es el consumo,"análogas se aplican al trabajo. Obsérvese que el argumento de la función de utilidad es el consumoper cápita (c minúscula), mientras que en la restricción",« NON »,ART NC PREP NC VSfin ART NC,10
H01,H01_31,economy,hyp_attributif,both,"['propiedades', 'neoclásicas', 'propiedades neoclásicas']",['función'],las_ART_el propiedades_NC_propiedad neoclásicas_ADJ_neoclásico es_VSfin_ser la_ART_el función_NC_función, las propiedades neoclásicas es la función,"y 2, una función de producción bastante sencilla que satisface las propiedades neoclásicas es la funciónCobb-Douglas xxx. Esta función puede reescribirse en términos per cápita del",« OUI »,ART NC ADJ VSfin ART NC,14
H01,H01_32,economy,hyp_attributif,right,[None],['multiplicador'],xxx_NP_xxx es_VSfin_ser el_ART_el multiplicador_NC_multiplicador, xxx es el multiplicador,escribiremos el Hamiltoniano: xxx [4] en el que xxx es el multiplicadordinámico de Lagrange (que se puede interpretar como el precio implícito,« NON »,NP VSfin ART NC,24
H01,H01_33,economy,hyp_attributif,none,[None],[None],el_ART_el consumidor_NC_consumidor es_VSfin_ser partidario_NC_partidario, el consumidor es partidario,"comportan trayectorias de consumo poco lisas. Por lo tanto, el consumidor es partidariode intercambiar parte de su consumo futuro por consumo presente. Esto",« NON »,ART NC VSfin NC,9
H01,H01_34,economy,hyp_attributif,left,['término'],[None],El_ART_el término_NC_término de_PREP_de la_ART_el derecha_NC_derecha es_VSfin_ser el_ART_el beneficio_NC_beneficio, El término de la derecha es el beneficio,", representa el beneficio de consumir ahora [5]. El término de la derecha es el beneficioo rendimiento neto obtenido del ahorro y, por tanto, de",« NON »,ART NC PREP ART NC VSfin ART NC,6
H01,H01_35,economy,hyp_attributif,right,[None],['índice'],xxx_NP_xxx es_VSfin_ser un_ART_un índice_NC_índice, xxx es un índice,"pueden escribir de la siguiente forma: xxx en la cual xxx es un índicedel estado de la tecnología en el momento xxx, que evoluciona",« NON »,NP VSfin ART NC,24
H01,H01_36,economy,hyp_attributif,left,"['progreso', 'progreso técnico']",[None],progreso_NC_progreso técnico_ADJ_técnico Es_VSfin_ser el_ART_el momento_NC_momento, progreso técnico Es el momento,"recientes de capital son más productivas. El modelo neoclásico con progreso técnico Es el momentode regresar al progreso técnico potenciador del trabajo, que expresamos en",« NON »,NC ADJ VSfin ART NC,13
H01,H01_37,economy,hyp_attributif,left,"['función', 'utilidad', 'función de utilidad']",[None],la_ART_el función_NC_función de_PREP_de utilidad_NC_utilidad es_VSfin_ser xxx_NP_xxx, la función de utilidad es xxx,". En primer lugar, la tasa efectiva de descuento de la función de utilidad es xxx, en lugar de ser xxx. En segundo lugar, la",« NON »,ART NC PREP NC VSfin NP,2
H01,H01_38,economy,hyp_attributif,left,['depreciación'],[None],depreciación_NC_depreciación es_VSfin_ser xxx_NP_xxx, depreciación es xxx,"ser xxx. En segundo lugar, la tasa efectiva de depreciación es xxx, en lugar de xxx. Si dejamos de lado estas dos",« NON »,NC VSfin NP,4
H01,H01_39,economy,hyp_attributif,right,[None],['tasa'],xxx_NP_xxx es_VSfin_ser la_ART_el tasa_NC_tasa, xxx es la tasa,"(3. 1), xxx, en la cual xxx es la tasade descuento, xxx es la tasa constante de crecimiento de la",« NON »,NP VSfin ART NC,24
H01,H01_40,economy,hyp_attributif,right,[None],['tasa'],xxx_NP_xxx es_VSfin_ser la_ART_el tasa_NC_tasa, xxx es la tasa,", en la cual xxx es la tasa de descuento, xxx es la tasaconstante de crecimiento de la población y xxx es la inversa de",« NON »,NP VSfin ART NC,24
H01,H01_41,economy,hyp_attributif,right,[None],['rendimiento'],El_ART_el miembro_NC_miembro de_PREP_de la_ART_el derecha_NC_derecha es_VSfin_ser el_ART_el rendimiento_NC_rendimiento, El miembro de la derecha es el rendimiento,"futuro al presente para lograr así un consumo más liso. El miembro de la derecha es el rendimientode la inversión, que se reduce a la productividad marginal neta",« NON »,ART NC PREP ART NC VSfin ART NC,6
H01,H01_42,economy,hyp_attributif,none,[None],[None],xxx_NP_xxx siendo_VSger_ser xxx_NP_xxx, xxx siendo xxx,xxx. La solución a (5. 14) es xxx siendo xxx. Si tras sustituir el valor de xxx que acabamos de obtener,« NON »,NP VSger NP,5
H01,H01_43,economy,hyp_attributif,right,[None],['número'],xxx_NP_xxx es_VSfin_ser el_ART_el número_NC_número, xxx es el número,2) sujeto a la ecuación dinámica xxx en la cual xxx es el númerode activos por persona y xxx es la tasa de rendimiento de,« NON »,NP VSfin ART NC,24
H01,H01_44,economy,hyp_attributif,right,[None],['tasa'],xxx_NP_xxx es_VSfin_ser la_ART_el tasa_NC_tasa, xxx es la tasa,la cual xxx es el número de activos por persona y xxx es la tasade rendimiento de los activos. Como en el modelo AK no,« NON »,NP VSfin ART NC,24
H01,H01_45,economy,hyp_attributif,both,"['factores', 'producción', 'factores de producción']",['capital'],factores_NC_factor de_PREP_de producción_NC_producción son_VSfin_ser el_ART_el capital_NC_capital, factores de producción son el capital,"de una función de producción Cobb-Douglas en la que los dos factores de producción son el capitalfísico, xxx, y el humano, xxx, xxx siendo",« NON »,NC PREP NC VSfin ART NC,2
H01,H01_46,economy,hyp_attributif,none,[None],[None],xxx_NP_xxx siendo_VSger_ser xxx_NP_xxx, xxx siendo xxx,"capital físico, xxx, y el humano, xxx, xxx siendo xxxy xxx un parámetro constante que refleja el nivel alcanzado por la",« NON »,NP VSger NP,5
H01,H01_47,economy,hyp_attributif,none,[None],[None],xxx_NP_xxx siendo_VSger_ser xxx_NP_xxx, xxx siendo xxx,"detrayendo recursos para el consumo, mediante la siguiente relación: xxx siendo xxxy xxx las tasas de depreciación del capital físico y el humano",« NON »,NP VSger NP,5
H01,H01_48,economy,hyp_attributif,none,[None],[None],xxx_NP_xxx siendo_VSger_ser xxx_NP_xxx, xxx siendo xxx,"producción del tipo Cobb-Douglas, la producción agregada vendrá dada por xxx siendo xxx. Supondremos que cada individuo representa una parte muy reducida del tamaño",« NON »,NP VSger NP,5
H01,H01_49,economy,hyp_attributif,none,[None],[None],EL_ART_el Hamiltoniano_NP_Hamiltoniano será_VSfin_ser xxx_NP_xxx, EL Hamiltoniano será xxx,"consecuencia, se pueden aplicar las técnicas habituales de optimización. EL Hamiltoniano será xxxy las condiciones de primer orden que obtenemos son: xxx.",« NON »,ART NP VSfin NP,1
H01,H01_50,economy,hyp_attributif,none,[None],[None],xxx_NP_xxx es_VSfin_ser el_ART_el exponente_NC_exponente, xxx es el exponente,"que viene determinada por la tecnología, xxx (obsérvese que xxx es el exponentedel factor de producción público en la función de producción).",« NON »,NP VSfin ART NC,24
H01,H01_51,economy,hyp_attributif,left,['caso'],[None],caso_NC_caso sería_VSfin_ser xxx_NP_xxx, caso sería xxx,producción). La tasa de crecimiento que resultaría en este caso sería xxx. La economía de planificador central y el crecimiento óptimo Es fácil,« NON »,NC VSfin NP,4
H01,H01_52,economy,hyp_attributif,none,[None],[None],congestión_NC_congestión sería_VSfin_ser la_ART_el institución_NC_institución, congestión sería la institución,"[1] Un bien público que no estaría sujeto a congestión sería la instituciónde la realeza. Por ejemplo, todos los ciudadanos del país",« NON »,NC VSfin ART NC,27
H01,H01_53,economy,hyp_attributif,both,['aumento'],['inversión'],aumento_NC_aumento de_PREP_de la_ART_el experiencia_NC_experiencia era_VSfin_ser la_ART_el inversión_NC_inversión, aumento de la experiencia era la inversión,"aumentos de productividad. También defendía que una buena medida del aumento de la experiencia era la inversión, debido a que "" cada máquina nueva que es producida y",« NON »,NC PREP ART NC VSfin ART NC,3
H01,H01_54,economy,hyp_attributif,both,['índice'],['inversión'],un_ART_un índice_NC_índice de_PREP_de experiencia_NC_experiencia es_VSfin_ser la_ART_el inversión_NC_inversión, un índice de experiencia es la inversión,"estímulos "" (p. 157). Esto implica que un índice de experiencia es la inversiónacumulada o, lo que es lo mismo, el stock de",« OUI »,ART NC PREP NC VSfin ART NC,10
